"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"낙성대014",1,서울특별시 관악구 남부순환로226길 41,서울특별시 관악구 봉천동 1604-3,37.478703,126.953615,,,02-879-6781,관악구청,2020-12-07
"낙성대015",1,서울특별시 관악구 관악로12길 25-9,서울특별시 관악구 봉천동 1604-31,37.478598,126.953717,,,02-879-6781,관악구청,2020-12-07
"낙성대016",1,서울특별시 관악구 관악로12길 25-9,서울특별시 관악구 봉천동 1604-31,37.478545,126.953588,,전용주,02-879-6781,관악구청,2020-12-07
"낙성대017",1,서울특별시 관악구 관악로12길 25-6,서울특별시 관악구 봉천동 1604-39,37.478489,126.954066,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대018",1,서울특별시 관악구 관악로12길 33,서울특별시 관악구 봉천동 1604-48,37.478387,126.954427,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대019",1,서울특별시 관악구 관악로12길 35,서울특별시 관악구 봉천동 1604-52,37.478311,126.954676,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대020",1,서울특별시 관악구 남부순환로228길 29,서울특별시 관악구 봉천동 1610-12,37.478533,126.954881,,,02-879-6781,관악구청,2020-12-07
"낙성대021",1,서울특별시 관악구 관악로14길 45,서울특별시 관악구 봉천동 1611-21,37.478780,126.954985,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대022",1,서울특별시 관악구,서울특별시 관악구 봉천동 1603-21,37.478887,126.954637,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대023",1,서울특별시 관악구 관악로14길 38-10,서울특별시 관악구 봉천동 1604-17,37.478521,126.954430,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대024",1,서울특별시 관악구 관악로14길 32-3,서울특별시 관악구 봉천동 1604-14,37.478711,126.954241,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대025",1,서울특별시 관악구 관악로14길 31,서울특별시 관악구 봉천동 1603-15,37.478999,126.954255,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대026",1,서울특별시 관악구 관악로14길 28-3,서울특별시 관악구 봉천동 1604-9,37.478779,126.954066,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대027",1,서울특별시 관악구 관악로14길 25-4,서울특별시 관악구 봉천동 1603-12,37.479175,126.954080,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대028",1,서울특별시 관악구 관악로14길 23,서울특별시 관악구 봉천동 1603-5,37.479118,126.953864,,,02-879-6781,관악구청,2020-12-07
"낙성대029",1,서울특별시 관악구 남부순환로226길 31,서울특별시 관악구 봉천동 1603-3,37.479156,126.953720,,전용주,02-879-6781,관악구청,2020-12-07
"낙성대030",1,서울특별시 관악구 관악로14길 22,서울특별시 관악구 봉천동 1604-1,37.478998,126.953650,,전용주,02-879-6781,관악구청,2020-12-07
"낙성대031",1,서울특별시 관악구 남부순환로226길 39,서울특별시 관악구 봉천동 1604-2,37.478816,126.953629,,,02-879-6781,관악구청,2020-12-07
"낙성대032",1,서울특별시 관악구 관악로14길 15,서울특별시 관악구 봉천동 1599-4,37.479189,126.953362,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대033",1,서울특별시 관악구 남부순환로226길 25,서울특별시 관악구 봉천동 1603-1,37.479554,126.953654,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대034",1,서울특별시 관악구 남부순환로226길 19,서울특별시 관악구 봉천동 1602-4,37.479619,126.953851,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대035",1,서울특별시 관악구 남부순환로226길 13,서울특별시 관악구 봉천동 1602-2,37.479893,126.954011,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대036",1,서울특별시 관악구 남부순환로226길 15-5,서울특별시 관악구 봉천동 1602-15,37.479908,126.954064,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대037",1,서울특별시 관악구 관악로16길 32-2,서울특별시 관악구 봉천동 1602-18,37.479877,126.954251,,,02-879-6781,관악구청,2020-12-07
"낙성대038",1,서울특별시 관악구 남부순환로226길 25,서울특별시 관악구 봉천동 1603-1,37.479474,126.954112,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대039",1,서울특별시 관악구 남부순환로226길 23-29,서울특별시 관악구 봉천동 1602-22,37.479634,126.954210,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대040",1,서울특별시 관악구 남부순환로226길 23-53,서울특별시 관악구 봉천동 1602-33,37.479409,126.954552,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대041",1,서울특별시 관악구 남부순환로226길 23-47,서울특별시 관악구 봉천동 1602-32,37.479590,126.954619,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대042",1,서울특별시 관악구 남부순환로228길 10,서울특별시 관악구 봉천동 1602-34,37.479327,126.954825,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대043",1,서울특별시 관악구 남부순환로228길 5,서울특별시 관악구 봉천동 1611-5,37.479404,126.954939,,전용주,02-879-6781,관악구청,2020-12-07
"낙성대044",1,서울특별시 관악구 관악로16길 42,서울특별시 관악구 봉천동 1611-1,37.479572,126.954925,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대045",1,서울특별시 관악구 관악로16길 41,서울특별시 관악구 봉천동 1601-11,37.479838,126.954835,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대046",1,서울특별시 관악구 관악로16길 35,서울특별시 관악구 봉천동 1601-10,37.479979,126.954473,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대047",1,서울특별시 관악구 관악로16길 34,서울특별시 관악구 봉천동 1602-20,37.479814,126.954416,,전용주,02-879-6781,관악구청,2020-12-07
"낙성대048",1,서울특별시 관악구 관악로16길 29,서울특별시 관악구 봉천동 1601-4,37.480073,126.954245,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대049",1,서울특별시 관악구 남부순환로226길 12,서울특별시 관악구 봉천동 1599-1,37.480103,126.953845,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대050",1,서울특별시 관악구 남부순환로 1838,서울특별시 관악구 봉천동 1600-1,37.480246,126.953795,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대051",1,서울특별시 관악구 남부순환로 1850,서울특별시 관악구 봉천동 1601-18,37.479972,126.955212,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대052",1,서울특별시 관악구 남부순환로 1850,서울특별시 관악구 봉천동 1601-18,37.479916,126.955219,,,02-879-6781,관악구청,2020-12-07
"낙성대053",1,서울특별시 관악구 관악로16길 45,서울특별시 관악구 봉천동 1601-16,37.479716,126.955177,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대054",1,서울특별시 관악구 남부순환로230길 12,서울특별시 관악구 봉천동 1611-23,37.479613,126.955242,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대055",1,서울특별시 관악구 남부순환로230길 14,서울특별시 관악구 봉천동 1611-24,37.479361,126.955265,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대056",1,서울특별시 관악구 관악로16길 48-18,서울특별시 관악구 봉천동 1611-16,37.479107,126.955211,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대057",1,서울특별시 관악구 관악로14길 45,서울특별시 관악구 봉천동 1611-21,37.478725,126.955203,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대058",1,서울특별시 관악구 관악로14길 45,서울특별시 관악구 봉천동 1611-21,37.478732,126.955179,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대059",1,서울특별시 관악구 남부순환로228길 16,서울특별시 관악구 봉천동 1603-24,37.478985,126.954878,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대060",1,서울특별시 관악구 남부순환로228길 12,서울특별시 관악구 봉천동 1603-25,37.479130,126.954870,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대061",1,서울특별시 관악구 남부순환로230길 29,서울특별시 관악구 봉천동 1612-13,37.478806,126.955599,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대062",1,서울특별시 관악구 봉천로58길 14-10,서울특별시 관악구 봉천동 1612-13,37.478907,126.955699,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대063",1,서울특별시 관악구 봉천로58길 14-12,서울특별시 관악구 봉천동 1612-13,37.478965,126.955761,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대064",1,서울특별시 관악구 봉천로58길 14-8,서울특별시 관악구 봉천동 1612-17,37.478843,126.955813,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대065",1,서울특별시 관악구 봉천로 522-20,서울특별시 관악구 봉천동 1612-18,37.478895,126.955954,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대066",1,서울특별시 관악구 봉천로58길 14,서울특별시 관악구 봉천동 1612-23,37.478834,126.956141,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대067",1,서울특별시 관악구 봉천로58길 20,서울특별시 관악구 봉천동 1612-17,37.478757,126.955849,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대068",1,서울특별시 관악구 남부순환로230길 25,서울특별시 관악구 봉천동 1612-6,37.479096,126.955532,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대069",1,서울특별시 관악구 남부순환로230길 14,서울특별시 관악구 봉천동 1611-24,37.479389,126.955388,,,02-879-6781,관악구청,2020-12-07
"낙성대070",1,서울특별시 관악구 봉천로 518-4,서울특별시 관악구 봉천동 1601-29,37.479572,126.955447,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대071",1,서울특별시 관악구 봉천로 518-4,서울특별시 관악구 봉천동 1601-29,37.479551,126.955591,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대072",1,서울특별시 관악구 봉천로 524,서울특별시 관악구 봉천동 1612-10,37.479063,126.955966,,,02-879-6781,관악구청,2020-12-07
"낙성대073",1,서울특별시 관악구 봉천로58길 10,서울특별시 관악구 봉천동 1612-33,37.478803,126.956375,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대074",1,서울특별시 관악구 봉천로58길 12,서울특별시 관악구 봉천동 1612-23,37.478738,126.956304,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대075",1,서울특별시 관악구 남부순환로234길 18,서울특별시 관악구 봉천동 1612-51,37.478509,126.956972,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대076",1,서울특별시 관악구 남부순환로234길 28,서울특별시 관악구 봉천동 1619-5,37.478211,126.956813,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대077",1,서울특별시 관악구 남부순환로234길 30,서울특별시 관악구 봉천동 1619-8,37.477964,126.956716,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대078",1,서울특별시 관악구 남부순환로234길 31,서울특별시 관악구 봉천동 1621-3,37.477869,126.956764,,,02-879-6781,관악구청,2020-12-07
"낙성대079",1,서울특별시 관악구 관악로14길 74-12,서울특별시 관악구 봉천동 1619-15,37.477894,126.956407,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대080",1,서울특별시 관악구 남부순환로234길 42,서울특별시 관악구 봉천동 1619-27,37.477686,126.956606,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대081",1,서울특별시 관악구 관악로12길 77,서울특별시 관악구 봉천동 1621-35,37.477458,126.956595,,,02-879-6781,관악구청,2020-12-07
"낙성대082",1,서울특별시 관악구 관악로12길 74,서울특별시 관악구 봉천동 1618-44,37.477405,126.956458,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대083",1,서울특별시 관악구 관악로12길 78,서울특별시 관악구 봉천동 1622-1,37.477294,126.956545,,,02-879-6781,관악구청,2020-12-07
"낙성대084",1,서울특별시 관악구 남부순환로234길 52,서울특별시 관악구 봉천동 1618-24,37.477085,126.956370,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대085",1,서울특별시 관악구 남부순환로234길 64,서울특별시 관악구 봉천동 1618-36,37.476700,126.956223,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대086",1,서울특별시 관악구 남부순환로234길 72,서울특별시 관악구 봉천동 1617-5,37.476312,126.956197,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대087",1,서울특별시 관악구,서울특별시 관악구 봉천동 산56-3,37.476021,126.956052,,,02-879-6781,관악구청,2020-12-07
"낙성대088",1,서울특별시 관악구 남부순환로234길 82,서울특별시 관악구 봉천동 1617-30,37.475915,126.956007,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대089",1,서울특별시 관악구 남부순환로234길 82,서울특별시 관악구 봉천동 1617-30,37.475795,126.956037,,전용주,02-879-6781,관악구청,2020-12-07
"낙성대090",1,서울특별시 관악구 낙성대로 40,서울특별시 관악구 봉천동 산56-117,37.475620,126.956111,,전용주,02-879-6781,관악구청,2020-12-07
"낙성대091",1,서울특별시 관악구 낙성대로 40,서울특별시 관악구 봉천동 산56-117,37.475454,126.956273,,전용주,02-879-6781,관악구청,2020-12-07
"낙성대092",1,서울특별시 관악구,서울특별시 관악구 봉천동 산55-2,37.475387,126.956494,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대093",1,서울특별시 관악구 남부순환로234길 86,서울특별시 관악구 봉천동 1617-34,37.475639,126.955897,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대094",1,서울특별시 관악구 남부순환로234길 86,서울특별시 관악구 봉천동 1617-34,37.475530,126.955847,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대095",1,서울특별시 관악구 관악로8길 49,서울특별시 관악구 봉천동 1617-44,37.475335,126.955749,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대096",1,서울특별시 관악구 관악로8길 49,서울특별시 관악구 봉천동 1617-44,37.475412,126.955400,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대097",1,서울특별시 관악구 관악로14가길 69,서울특별시 관악구 봉천동 산54-10,37.475472,126.955089,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대098",1,서울특별시 관악구 관악로8길 40,서울특별시 관악구 봉천동 1616-7,37.475392,126.954991,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대099",1,서울특별시 관악구 관악로14가길 74,서울특별시 관악구 봉천동 1616-9,37.475153,126.954973,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대100",1,서울특별시 관악구 관악로14가길 82,서울특별시 관악구 봉천동 1616-18,37.474918,126.954793,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대101",1,서울특별시 관악구 남부순환로230길 117,서울특별시 관악구 봉천동 1715,37.474774,126.954735,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대102",1,서울특별시 관악구 관악로8길 37,서울특별시 관악구 봉천동 1615-28,37.475570,126.955061,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대103",1,서울특별시 관악구 관악로14가길 64,서울특별시 관악구 봉천동 1615-27,37.475740,126.955100,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대104",1,서울특별시 관악구 관악로14가길 61,서울특별시 관악구 봉천동 1617-39,37.475831,126.955256,,,02-879-6781,관악구청,2020-12-07
"낙성대105",1,서울특별시 관악구 관악로14가길 59-6,서울특별시 관악구 봉천동 1617-36,37.475760,126.955496,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대106",1,서울특별시 관악구 관악로14가길 56,서울특별시 관악구 봉천동 1615-20,37.475963,126.955217,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대107",1,서울특별시 관악구 관악로14가길 59-3,서울특별시 관악구 봉천동 1617-27,37.475945,126.955419,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대108",1,서울특별시 관악구 관악로14가길 54-4,서울특별시 관악구 봉천동 1615-14,37.476207,126.955136,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대109",1,서울특별시 관악구 관악로14가길 50,서울특별시 관악구 봉천동 1615-12,37.476248,126.955334,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대110",1,서울특별시 관악구 관악로14가길 51-3,서울특별시 관악구 봉천동 1617-16,37.476092,126.955591,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대111",1,서울특별시 관악구 관악로10길 49,서울특별시 관악구 봉천동 1614-26,37.476591,126.955466,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대112",1,서울특별시 관악구 관악로10길 58,서울특별시 관악구 봉천동 1617-4,37.476437,126.955834,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대113",1,서울특별시 관악구 관악로12길 70-18,서울특별시 관악구 봉천동 1618-14,37.476772,126.955909,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대114",1,서울특별시 관악구 남부순환로234길 58,서울특별시 관악구 봉천동 1618-27,37.477034,126.956079,,,02-879-6781,관악구청,2020-12-07
"낙성대115",1,서울특별시 관악구 관악로12길 70-8,서울특별시 관악구 봉천동 1618-19,37.477134,126.956045,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대116",1,서울특별시 관악구 관악로12길 70-4,서울특별시 관악구 봉천동 1618-21,37.477359,126.956130,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대117",1,서울특별시 관악구 관악로12길 72,서울특별시 관악구 봉천동 1618-23,37.477463,126.956249,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대118",1,서울특별시 관악구 관악로12길 62,서울특별시 관악구 봉천동 1614-10,37.477518,126.955835,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대119",1,서울특별시 관악구 관악로14가길 28,서울특별시 관악구 봉천동 1614-12,37.477202,126.955706,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대120",1,서울특별시 관악구 남부순환로230길 63,서울특별시 관악구 봉천동 1614-13,37.477082,126.955625,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대121",1,서울특별시 관악구 남부순환로230길 63,서울특별시 관악구 봉천동 1614-13,37.477193,126.955519,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대122",1,서울특별시 관악구 남부순환로230길 63,서울특별시 관악구 봉천동 1614-13,37.476960,126.955612,,,02-879-6781,관악구청,2020-12-07
"낙성대123",1,서울특별시 관악구 관악로14가길 38,서울특별시 관악구 봉천동 1614-17,37.476754,126.955538,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대124",1,서울특별시 관악구 관악로10길 45,서울특별시 관악구 봉천동 1614-24,37.476664,126.955155,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대125",1,서울특별시 관악구 관악로10길 37,서울특별시 관악구 봉천동 1609-34,37.476767,126.954819,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대126",1,서울특별시 관악구 남부순환로230길 73-3,서울특별시 관악구 봉천동 1614-20,37.476813,126.955193,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대127",1,서울특별시 관악구 남부순환로230길 69,서울특별시 관악구 봉천동 1614-14,37.476982,126.955011,,,02-879-6781,관악구청,2020-12-07
"낙성대128",1,서울특별시 관악구 남부순환로230길 63,서울특별시 관악구 봉천동 1614-13,37.477164,126.955075,,,02-879-6781,관악구청,2020-12-07
"낙성대129",1,서울특별시 관악구 남부순환로230길 63,서울특별시 관악구 봉천동 1614-13,37.477188,126.955354,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대130",1,서울특별시 관악구 남부순환로230길 66,서울특별시 관악구 봉천동 1609-26,37.477304,126.955026,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대131",1,서울특별시 관악구 관악로12길 48,서울특별시 관악구 봉천동 1609-4,37.477613,126.955140,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대132",1,서울특별시 관악구 관악로12길 47,서울특별시 관악구 봉천동 1610-24,37.477794,126.955308,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대133",1,서울특별시 관악구 관악로12길 56,서울특별시 관악구 봉천동 1614-2,37.477726,126.955460,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대134",1,서울특별시 관악구 관악로12길 56,서울특별시 관악구 봉천동 1614-2,37.477693,126.955595,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대135",1,서울특별시 관악구 관악로12길 58,서울특별시 관악구 봉천동 1614-9,37.477514,126.955557,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대136",1,서울특별시 관악구,서울특별시 관악구 봉천동 1613-19,37.477632,126.955833,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대137",1,서울특별시 관악구 관악로14가길 12,서울특별시 관악구 봉천동 1613-18,37.477837,126.955965,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대138",1,서울특별시 관악구 관악로14가길 12,서울특별시 관악구 봉천동 1613-18,37.477985,126.955989,,,02-879-6781,관악구청,2020-12-07
"낙성대139",1,서울특별시 관악구 남부순환로230길 43-8,서울특별시 관악구 봉천동 1613-16,37.478057,126.955692,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대140",1,서울특별시 관악구,서울특별시 관악구 봉천동 1612-31,37.478388,126.956271,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대141",1,서울특별시 관악구 관악로14길 76,서울특별시 관악구 봉천동 1619-4,37.478322,126.956526,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대142",1,서울특별시 관악구 관악로14길 76,서울특별시 관악구 봉천동 1619-4,37.478309,126.956536,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대143",1,서울특별시 관악구 관악로14길 64,서울특별시 관악구 봉천동 1613-3,37.478463,126.955947,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대144",1,서울특별시 관악구 남부순환로230길 35,서울특별시 관악구 봉천동 1613-1,37.478533,126.955647,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대145",1,서울특별시 관악구 남부순환로230길 39,서울특별시 관악구 봉천동 1613-7,37.478390,126.955548,,,02-879-6781,관악구청,2020-12-07
"낙성대146",1,서울특별시 관악구 남부순환로230길 39-5,서울특별시 관악구 봉천동 1613-6,37.478266,126.955695,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대147",1,서울특별시 관악구 남부순환로230길 45,서울특별시 관악구 봉천동 1613-14,37.478117,126.955445,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대148",1,서울특별시 관악구,서울특별시 관악구 봉천동 1613-14,37.478003,126.955397,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대149",1,서울특별시 관악구 관악로12길 47,서울특별시 관악구 봉천동 1610-24,37.477834,126.954976,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대150",1,서울특별시 관악구 관악로12길 47,서울특별시 관악구 봉천동 1610-24,37.477854,126.954957,,,02-879-6781,관악구청,2020-12-07
"낙성대151",1,서울특별시 관악구 관악로12길 45-7,서울특별시 관악구 봉천동 1610-21,37.478184,126.955026,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대152",1,서울특별시 관악구 관악로12길 45-13,서울특별시 관악구 봉천동 1610-10,37.478386,126.955101,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대153",1,서울특별시 관악구 관악로12길 45-9,서울특별시 관악구 봉천동 1610-14,37.478259,126.954934,,,02-879-6781,관악구청,2020-12-07
"낙성대154",1,서울특별시 관악구 남부순환로228길 35,서울특별시 관악구 봉천동 1610-16,37.478145,126.954732,,,02-879-6781,관악구청,2020-12-07
"낙성대155",1,서울특별시 관악구 관악로12길 35,서울특별시 관악구 봉천동 1604-52,37.477961,126.954565,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대156",1,서울특별시 관악구 관악로12길 35,서울특별시 관악구 봉천동 1604-52,37.477957,126.954540,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대157",1,서울특별시 관악구,서울특별시 관악구 봉천동 1609-1,37.477839,126.954613,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대158",1,서울특별시 관악구 관악로12길 43,서울특별시 관악구 봉천동 1610-19,37.477891,126.954768,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대159",1,서울특별시 관악구,서울특별시 관악구 봉천동 1609-1,37.477715,126.954567,,,02-879-6781,관악구청,2020-12-07
"낙성대160",1,서울특별시 관악구 남부순환로228길 53,서울특별시 관악구 봉천동 1609-14,37.477433,126.954460,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대161",1,서울특별시 관악구 남부순환로228길 56,서울특별시 관악구 봉천동 1605-21,37.477427,126.954206,,,02-879-6781,관악구청,2020-12-07
"낙성대162",1,서울특별시 관악구 관악로12길 32-14,서울특별시 관악구 봉천동 1605-20,37.477469,126.954062,,,02-879-6781,관악구청,2020-12-07
"낙성대163",1,서울특별시 관악구 관악로12길 32-8,서울특별시 관악구 봉천동 1605-13,37.477735,126.954107,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대164",1,서울특별시 관악구 남부순환로228길 57,서울특별시 관악구 봉천동 1609-18,37.477246,126.954388,,,02-879-6781,관악구청,2020-12-07
"낙성대165",1,서울특별시 관악구 남부순환로228길 60-4,서울특별시 관악구 봉천동 1605-23,37.477262,126.954074,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대166",1,서울특별시 관악구 관악로10길 23,서울특별시 관악구 봉천동 1605-6,37.476989,126.954194,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대167",1,서울특별시 관악구 관악로10길 23,서울특별시 관악구 봉천동 1605-6,37.477039,126.954021,,건축물,02-879-6781,관악구청,2020-12-07
"낙성대168",1,서울특별시 관악구 관악로10길 23,서울특별시 관악구 봉천동 1605-6,37.476906,126.954143,,전용주,02-879-6781,관악구청,2020-12-07
"낙성대169",1,서울특별시 관악구 관악로10길 31-5,서울특별시 관악구 봉천동 1609-21,37.476973,126.954485,,,02-879-6781,관악구청,2020-12-07
"낙성대170",1,서울특별시 관악구 관악로10길 31-9,서울특별시 관악구 봉천동 1609-17,37.477211,126.954620,,건축물,02-879-6781,관악구청,2020-12-07
